month,source,retrieved_at,sip_contribution_cr,sip_aum_lakh_cr,sip_aum_pct_of_total_aum,contributing_accounts_cr,new_sips_registered_lakh,sips_discontinued_lakh,stoppage_ratio_pct,total_industry_aum_lakh_cr,total_folios_cr,net_equity_inflow_cr,net_debt_inflow_cr,net_hybrid_inflow_cr,notes,sip_contribution_cr_mom_pct,sip_contribution_cr_yoy_pct,sip_contribution_cr_outlier,total_industry_aum_lakh_cr_mom_pct,total_industry_aum_lakh_cr_yoy_pct,total_industry_aum_lakh_cr_outlier,sip_contribution_3m_avg,avg_ticket_rs,sip_share_of_equity_pct,net_new_accounts_lakh,nifty_close,india_vix,nifty_mom_pct
2024-06,amfi_pdf,2026-07-02T16:31:42.818841+00:00,21262.0,12.43,20.0,8.99,,,,61.16,,,-43637.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,,,False,,,False,,2365.072302558398,,,24010.599609375,13.800000190734863,6.568373117304005
2024-07,amfi_pdf,2026-07-02T16:31:45.582825+00:00,23332.0,13.09,20.2,9.34,,,,64.97,,,3126.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,9.735678675571442,,True,6.229561805101377,,False,22297.0,2498.072805139186,,34.999999999999964,24951.150390625,13.25,3.917231541701116
2024-08,amfi_pdf,2026-07-02T16:31:48.306654+00:00,23547.0,13.39,20.1,9.61,,,,66.7,,,,10005.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,0.9214812274987142,,False,2.6627674311220626,,False,22713.666666666668,2450.260145681582,,26.999999999999957,25235.900390625,13.390000343322754,1.1412299454817587
2024-09,amfi_pdf,2026-07-02T16:31:51.054269+00:00,24509.0,13.82,20.6,9.87,,,,67.09,,,-113834.0,4901.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,4.085446129018559,,False,0.5847076461769124,,False,23796.0,2483.181357649443,,25.99999999999998,25810.849609375,12.789999961853027,2.2782988118133174
2024-10,amfi_pdf,2026-07-02T16:31:53.798299+00:00,25323.0,,19.8,10.12,,,,67.26,,,,311.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,3.321228936309111,,False,0.25339096735728384,,False,24459.666666666668,2502.2727272727275,,25.0,24205.349609375,15.550000190734863,-6.2202524298806905
2024-11,amfi_pdf,2026-07-02T16:31:56.563935+00:00,25320.0,,19.9,10.22,,,,68.08,,,12916.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,-0.011846937566639024,,False,1.2191495688373375,,False,25050.666666666668,2477.495107632094,,10.000000000000142,24131.099609375,14.43000030517578,-0.3067503721212228
2024-12,amfi_pdf,2026-07-02T16:31:59.371208+00:00,26459.0,13.63,20.4,,,,,66.93,22.5,,,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,4.498420221169036,,False,-1.6891891891891768,,False,25700.666666666668,,,,23644.80078125,14.449999809265137,-2.0152369183212504
2025-01,amfi_pdf,2026-07-02T16:32:02.174027+00:00,26400.0,13.2,19.6,,,,,67.25,22.92,,39688.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,-0.22298650742658455,,False,0.47811145973404023,,False,26059.666666666668,,,,23508.400390625,16.25,-0.5768726574899463
2025-02,amfi_pdf,2026-07-02T16:32:05.012183+00:00,,,19.2,8.26,,,,64.53,23.23,4977.0,-6526.0,6804.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,,,False,-4.044609665427508,,False,26429.5,,,,22124.69921875,13.90999984741211,-5.885986068311189
2025-03,amfi_pdf,2026-07-02T16:32:07.955518+00:00,25926.0,13.35,20.3,8.11,,,,65.74,23.45,,-133034.0,-947.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,,,False,1.8750968541763422,,False,26163.0,3196.7940813810114,,-15.000000000000036,23519.349609375,12.720000267028809,6.303590285390537
2025-04,amfi_pdf,2026-07-02T16:32:10.897606+00:00,26632.0,13.9,19.9,8.38,,,,69.99,23.63,20229.0,219136.0,19056.66,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,2.7231350767569236,,False,6.464861575905082,,False,26279.0,3178.0429594272073,131.6525779821049,27.000000000000135,24334.19921875,18.219999313354492,3.464592443705139
2025-05,amfi_pdf,2026-07-02T16:32:13.767164+00:00,26688.0,14.61,20.24,8.56,,,,70.0,23.83,,11983.0,20765.05,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,0.21027335536197056,,False,0.014287755393634971,,False,26415.333333333332,3117.7570093457944,,17.99999999999997,24750.69921875,16.079999923706055,1.7115829300808905
2025-06,amfi_pdf,2026-07-02T16:32:16.967897+00:00,27269.0,15.31,20.6,8.64,,,,74.41,24.13,,,23223.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,2.1770083932853717,28.252281064810457,False,6.2999999999999945,21.664486592544147,False,26863.0,3156.134259259259,,8.000000000000007,25517.05078125,12.789999961853027,3.0962824756055607
2025-07,amfi_pdf,2026-07-02T16:32:19.917760+00:00,28464.0,15.19,20.2,9.11,,,,75.36,,42702.0,,2365.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,4.382265576295427,21.995542602434426,False,1.2767101196075836,15.99199630598738,False,27473.666666666668,3124.478594950604,66.65729942391458,46.999999999999886,24768.349609375,11.539999961853027,-2.9341211031532977
2025-08,amfi_pdf,2026-07-02T16:32:22.807682+00:00,28265.0,15.18,20.2,8.99,,,,75.19,,,,15294.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,-0.6991287240022485,20.036522699282287,False,-0.22558386411889822,12.728635682158911,False,27999.333333333332,3144.0489432703002,,-11.999999999999922,24426.849609375,11.75,-1.3787757577143567
2025-09,amfi_pdf,2026-07-02T16:32:25.758520+00:00,29361.0,15.52,20.5,9.25,,,,75.61,25.19,,,9397.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source,3.8775871218821867,19.7968093353462,False,0.5585849182072107,12.699359069906091,False,28696.666666666668,3174.162162162162,,25.99999999999998,24611.099609375,11.06999969482422,0.7542929315341729
